cp_eval,white_elo,black_elo,ply,phase,time_control,tc_bucket,clock_remaining,white_clock,black_clock,side_to_move,result,game_id
-169.9,2341,2299,59,middlegame,600+0,rapid,,,,white,0.0,synthetic-00000
92.6,2479,2426,53,middlegame,600+0,rapid,,,,white,0.0,synthetic-00001
-203.3,1883,1817,40,middlegame,600+0,rapid,,,,white,0.0,synthetic-00002
-6.0,2580,2574,26,middlegame,600+0,rapid,,,,white,0.0,synthetic-00003
305.4,1377,1340,20,opening,600+0,rapid,,,,white,1.0,synthetic-00004
-225.3,1422,1452,34,middlegame,600+0,rapid,,,,white,0.0,synthetic-00005
128.7,2538,2542,78,endgame,600+0,rapid,,,,white,0.5,synthetic-00006
-145.4,2416,2481,8,opening,600+0,rapid,,,,white,0.0,synthetic-00007
-201.9,1928,1875,16,opening,600+0,rapid,,,,white,0.0,synthetic-00008
350.7,1149,1139,26,middlegame,600+0,rapid,,,,white,1.0,synthetic-00009
192.1,2242,2250,70,endgame,600+0,rapid,,,,white,1.0,synthetic-00010
106.3,1000,992,78,endgame,600+0,rapid,,,,white,0.5,synthetic-00011
129.9,1433,1365,44,middlegame,600+0,rapid,,,,white,0.5,synthetic-00012
428.9,1609,1593,38,middlegame,600+0,rapid,,,,white,1.0,synthetic-00013
133.3,1298,1347,68,endgame,600+0,rapid,,,,white,0.5,synthetic-00014
317.5,939,910,27,middlegame,600+0,rapid,,,,white,1.0,synthetic-00015
454.2,2489,2435,58,middlegame,600+0,rapid,,,,white,1.0,synthetic-00016
-338.1,2310,2306,38,middlegame,600+0,rapid,,,,white,0.0,synthetic-00017
-516.7,2361,2297,65,endgame,600+0,rapid,,,,white,0.0,synthetic-00018
-327.0,1698,1675,53,middlegame,600+0,rapid,,,,white,0.0,synthetic-00019
-351.3,957,939,39,middlegame,600+0,rapid,,,,white,0.0,synthetic-00020
30.0,811,847,55,middlegame,600+0,rapid,,,,white,0.5,synthetic-00021
46.3,2217,2244,36,middlegame,600+0,rapid,,,,white,1.0,synthetic-00022
-105.4,887,876,76,endgame,600+0,rapid,,,,white,0.0,synthetic-00023
114.7,1850,1918,23,middlegame,600+0,rapid,,,,white,0.0,synthetic-00024
113.9,1494,1515,12,opening,600+0,rapid,,,,white,0.0,synthetic-00025
